,MLP,EW,MVO
2017-06-30,0.04087341594695221,0.005277509024385134,-0.0013050425340531073
2017-07-31,0.05148402901369843,0.01467354182605588,0.018607756695918676
2017-08-31,0.008663451951597533,-0.00782967615192032,-0.01057950431916741
2017-09-30,0.060699067639560914,0.03390034482583705,0.01594086843023807
2017-10-31,0.09324807151934747,0.02057748429770299,0.008194385323905517
2017-11-30,0.05114714647188375,0.04274671764867594,0.024628406350937715
2017-12-31,-0.01022617360980594,0.020964456817071934,0.0066348783124874095
2018-01-31,0.08098563778267598,0.028346882310544,0.02260862317362268
2018-02-28,0.013119745679044345,-0.04674185939872666,-0.013566483479736439
2018-03-31,0.04658944763450595,-0.0011398034203324208,0.01641012169961384
2018-04-30,0.03145791343752206,-0.010803550228057693,0.008913605734730021
2018-05-31,0.0325651696663395,0.011069954643206766,0.0034374582517144414
